datetime,accX[m/s^2],accY[m/s^2],accZ[m/s^2],gyroX[rad/s],gyroY[rad/s],gyroZ[rad/s],angleX[rad],angleY[rad],angleZ[rad],step
2019/09/12 18:08:16.182,  -0.19569999,  -0.80500001,   0.55219996,   0.00000000,   0.00000000,   0.00000000,  -0.00000000,  -0.00000000,  -0.00000000,    1
2019/09/12 18:08:16.193,  -0.19569999,  -0.80500001,   0.55219996,   0.00000000,   0.00000000,   0.00000000,  -0.00000000,  -0.00000000,  -0.00000000,    1
2019/09/12 18:08:16.274,   0.12920000,  -0.26319999,   1.02109993,   0.00000000,   0.00000000,   0.00000000,  -0.00000000,  -0.00000000,  -0.00000000,    1
2019/09/12 18:08:16.283,  -0.51779997,  -0.22160000,   0.65840000,   0.00000000,   0.00000000,   0.00000000,  -0.00000000,  -0.00000000,  -0.00000000,    1
2019/09/12 18:08:16.374,  -0.62049997,   0.08730000,   1.14919996,   0.03054326,  -0.01954769,  -0.21135937,  -0.01118654,  -0.16346377,  -1.85920703,    1
2019/09/12 18:08:16.388,   0.12310000,  -0.12860000,   0.94349998,   0.03054326,  -0.01954769,  -0.21135937,  -0.01121717,  -0.16362974,  -1.85575938,    1
2019/09/12 18:08:16.422,  -0.09030000,   0.02000000,   0.01190000,   0.03054326,  -0.01954769,  -0.21135937,  -0.01408284,  -0.16339833,  -1.85337853,    1
2019/09/12 18:08:16.432,  -0.09030000,   0.02000000,   0.01190000,   0.03054326,  -0.01954769,  -0.21135937,  -0.01408284,  -0.16339833,  -1.84676814,    1
2019/09/12 18:08:16.442,  -0.64279997,   0.06620000,  -0.08530000,   0.03054326,  -0.01954769,  -0.21135937,  -0.01537795,  -0.16375205,  -1.84689927,    1
2019/09/12 18:08:16.451,  -0.64279997,   0.06620000,  -0.08530000,   0.03054326,  -0.01954769,  -0.21135937,  -0.01537795,  -0.16375205,  -1.84627700,    1
2019/09/12 18:08:16.476,  -0.34430000,   0.04730000,   0.30159998,   0.03054326,  -0.01954769,  -0.21135937,  -0.01731578,  -0.16023435,  -1.83843029,    1
2019/09/12 18:08:16.487,   0.30949998,   0.05450000,   0.85149997,   0.03054326,  -0.01954769,  -0.21135937,  -0.01860075,  -0.16056792,  -1.84187555,    1
2019/09/12 18:08:16.494,  -0.09630000,   0.10040000,  -0.04130000,   0.03054326,  -0.01954769,  -0.21135937,  -0.02094658,  -0.15995568,  -1.84219813,    1
2019/09/12 18:08:16.515,  -0.09630000,   0.10040000,  -0.04130000,   0.03054326,  -0.01954769,  -0.21135937,  -0.02094658,  -0.15995568,  -1.83961606,    1
2019/09/12 18:08:16.522,  -1.08980000,  -0.05910000,  -0.48179999,   0.03054326,  -0.01954769,  -0.21135937,  -0.02223179,  -0.16028082,  -1.83975482,    1
