date,time,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2019/11/06,01:45:40.600,35.639377697,139.296213851,219.2209,1,16,0.0058,0.0049,0.0166,0.0034,-0.0052,-0.0077,0.20,6.5
2019/11/06,01:45:40.800,35.639377704,139.296213862,219.2182,1,16,0.0058,0.0049,0.0166,0.0033,-0.0052,-0.0077,0.20,6.8
2019/11/06,01:45:41.000,35.639377720,139.296213831,219.2181,1,16,0.0060,0.0048,0.0165,0.0035,-0.0052,-0.0077,0.20,6.7
2019/11/06,01:45:41.200,35.639377719,139.296213808,219.2168,1,16,0.0057,0.0048,0.0166,0.0034,-0.0052,-0.0077,0.20,6.7
2019/11/06,01:45:41.400,35.639377743,139.296213820,219.2175,1,16,0.0058,0.0049,0.0166,0.0034,-0.0051,-0.0079,0.40,6.6
2019/11/06,01:45:41.600,35.639377725,139.296213778,219.2207,1,16,0.0056,0.0047,0.0167,0.0034,-0.0052,-0.0077,0.40,6.5
2019/11/06,01:45:41.800,35.639377711,139.296213770,219.2221,1,16,0.0058,0.0049,0.0166,0.0034,-0.0053,-0.0077,0.20,6.7
2019/11/06,01:45:42.000,35.639377686,139.296213752,219.2216,1,16,0.0058,0.0047,0.0165,0.0035,-0.0053,-0.0077,0.20,6.7
2019/11/06,01:45:42.200,35.639377709,139.296213744,219.2168,1,16,0.0054,0.0047,0.0166,0.0035,-0.0052,-0.0078,0.20,6.6
2019/11/06,01:45:42.400,35.639377675,139.296213765,219.2216,1,16,0.0056,0.0050,0.0166,0.0035,-0.0051,-0.0078,0.20,6.5
2019/11/06,01:45:42.600,35.639377694,139.296213818,219.2184,1,16,0.0055,0.0048,0.0166,0.0034,-0.0051,-0.0076,0.20,19.1
2019/11/06,01:45:42.800,35.639377668,139.296213834,219.2193,1,16,0.0056,0.0048,0.0165,0.0036,-0.0054,-0.0078,0.40,30.2
2019/11/06,01:45:43.000,35.639377657,139.296213854,219.2146,1,16,0.0060,0.0051,0.0166,0.0034,-0.0052,-0.0078,0.40,41.6
2019/11/06,01:45:43.200,35.639377653,139.296213851,219.2170,1,16,0.0058,0.0051,0.0167,0.0035,-0.0052,-0.0078,0.60,52.2
2019/11/06,01:45:43.400,35.639377669,139.296213880,219.2089,1,16,0.0059,0.0048,0.0166,0.0034,-0.0052,-0.0077,0.40,63.0
2019/11/06,01:45:43.600,35.639377688,139.296213859,219.2194,1,16,0.0058,0.0047,0.0166,0.0036,-0.0052,-0.0077,0.20,73.1
2019/11/06,01:45:43.800,35.639377775,139.296213827,219.2155,1,16,0.0059,0.0052,0.0167,0.0030,-0.0050,-0.0077,0.20,88.4
2019/11/06,01:45:44.000,35.639377862,139.296213859,219.2213,1,16,0.0058,0.0045,0.0166,0.0034,-0.0051,-0.0077,0.20,93.7
2019/11/06,01:45:44.200,35.639377923,139.296213782,219.2199,1,16,0.0058,0.0048,0.0165,0.0035,-0.0052,-0.0077,0.20,101.7
2019/11/06,01:45:44.400,35.639377958,139.296213590,219.2234,1,16,0.0061,0.0053,0.0165,0.0031,-0.0049,-0.0078,0.20,117.1
2019/11/06,01:45:44.600,35.639377940,139.296213414,219.2282,1,16,0.0057,0.0052,0.0165,0.0032,-0.0049,-0.0079,0.20,125.4
2019/11/06,01:45:44.800,35.639377934,139.296213338,219.2368,2,16,0.0060,0.0053,0.0168,0.0030,-0.0051,-0.0080,0.20,2.0
2019/11/06,01:45:45.000,35.639377884,139.296213410,219.2352,2,16,0.0062,0.0056,0.0169,0.0027,-0.0051,-0.0078,0.20,2.2
2019/11/06,01:45:45.200,35.639377784,139.296213568,219.2329,2,16,0.0059,0.0049,0.0166,0.0034,-0.0056,-0.0078,0.40,2.2
2019/11/06,01:45:45.400,35.639377776,139.296213663,219.2309,1,16,0.0058,0.0051,0.0161,0.0038,-0.0053,-0.0080,0.40,12.8
2019/11/06,01:45:45.600,35.639377788,139.296213725,219.2232,1,16,0.0057,0.0048,0.0162,0.0032,-0.0054,-0.0080,0.60,15.7
2019/11/06,01:45:45.800,35.639377798,139.296213805,219.2223,1,16,0.0057,0.0049,0.0161,0.0036,-0.0054,-0.0080,0.40,18.5
2019/11/06,01:45:46.000,35.639377875,139.296213775,219.2232,1,16,0.0058,0.0050,0.0163,0.0036,-0.0052,-0.0079,0.60,20.9
2019/11/06,01:45:46.200,35.639377950,139.296213696,219.2247,1,16,0.0056,0.0053,0.0162,0.0030,-0.0050,-0.0081,0.40,25.0
2019/11/06,01:45:46.400,35.639378019,139.296213702,219.2221,1,16,0.0059,0.0053,0.0161,0.0030,-0.0051,-0.0080,0.20,27.2
2019/11/06,01:45:46.600,35.639378059,139.296213717,219.2245,1,16,0.0059,0.0052,0.0162,0.0026,-0.0052,-0.0078,0.20,29.1
2019/11/06,01:45:46.800,35.639378071,139.296213678,219.2251,1,16,0.0060,0.0052,0.0160,0.0032,-0.0051,-0.0079,0.20,30.9
2019/11/06,01:45:47.000,35.639378095,139.296213665,219.2195,1,16,0.0059,0.0053,0.0161,0.0028,-0.0051,-0.0079,0.20,32.9
2019/11/06,01:45:47.200,35.639378088,139.296213590,219.2180,1,16,0.0058,0.0053,0.0162,0.0027,-0.0051,-0.0078,0.20,34.4
2019/11/06,01:45:47.400,35.639378101,139.296213542,219.2190,1,16,0.0056,0.0053,0.0161,0.0027,-0.0052,-0.0080,0.20,42.6
2019/11/06,01:45:47.600,35.639378115,139.296213543,219.2212,1,16,0.0058,0.0054,0.0161,0.0026,-0.0052,-0.0080,0.20,50.6
2019/11/06,01:45:47.800,35.639378084,139.296213623,219.2237,1,16,0.0059,0.0046,0.0161,0.0034,-0.0053,-0.0079,0.20,3.1
2019/11/06,01:45:48.000,35.639378095,139.296213693,219.2175,1,16,0.0058,0.0047,0.0160,0.0034,-0.0054,-0.0079,0.20,10.4
2019/11/06,01:45:48.200,35.639378050,139.296213706,219.2253,1,16,0.0059,0.0050,0.0161,0.0034,-0.0052,-0.0078,0.20,17.6
2019/11/06,01:45:48.400,35.639378031,139.296213736,219.2226,1,16,0.0057,0.0047,0.0160,0.0034,-0.0053,-0.0080,0.20,24.5
2019/11/06,01:45:48.600,35.639378041,139.296213656,219.2213,1,16,0.0059,0.0050,0.0161,0.0032,-0.0053,-0.0078,0.20,31.5
2019/11/06,01:45:48.800,35.639378009,139.296213680,219.2200,1,16,0.0056,0.0049,0.0161,0.0037,-0.0052,-0.0080,0.40,38.6
2019/11/06,01:45:49.000,35.639377974,139.296213722,219.2209,1,16,0.0057,0.0048,0.0162,0.0033,-0.0054,-0.0079,0.40,45.4
2019/11/06,01:45:49.200,35.639377894,139.296213775,219.2199,1,16,0.0056,0.0049,0.0160,0.0036,-0.0053,-0.0079,0.20,52.2
2019/11/06,01:45:49.400,35.639377870,139.296213831,219.2201,1,16,0.0059,0.0050,0.0161,0.0031,-0.0053,-0.0078,0.20,59.1
2019/11/06,01:45:49.600,35.639377853,139.296213816,219.2235,1,16,0.0059,0.0052,0.0160,0.0031,-0.0054,-0.0079,0.20,66.2
2019/11/06,01:45:49.800,35.639377838,139.296213811,219.2178,1,16,0.0059,0.0047,0.0161,0.0033,-0.0054,-0.0078,0.20,72.6
